,date,hour,energy_kWh
185,2015-04-02,17,1.28
186,2015-04-02,18,2.5
187,2015-04-02,19,1.91
188,2015-04-02,20,1.53
189,2015-04-02,21,1.63
190,2015-04-02,22,1.31
191,2015-04-02,23,1.09
192,2015-04-03,0,1.19
193,2015-04-03,1,0.92
194,2015-04-03,2,1.03
195,2015-04-03,3,0.99
196,2015-04-03,4,1.19
197,2015-04-03,5,0.9
198,2015-04-03,6,1.19
199,2015-04-03,7,1.41
200,2015-04-03,8,1.18
201,2015-04-03,9,1.48
202,2015-04-03,10,1.5
203,2015-04-03,11,2.87
204,2015-04-03,12,1.74
205,2015-04-03,13,1.21
206,2015-04-03,14,1.62
207,2015-04-03,15,1.79
208,2015-04-03,16,1.54
209,2015-04-03,17,2.2
210,2015-04-03,18,3.25
211,2015-04-03,19,1.69
212,2015-04-03,20,2.04
213,2015-04-03,21,1.76
214,2015-04-03,22,1.59
215,2015-04-03,23,1.2
216,2015-04-04,0,1.25
217,2015-04-04,1,1.06
218,2015-04-04,2,0.82
219,2015-04-04,3,1.32
220,2015-04-04,4,0.73
221,2015-04-04,5,1.51
222,2015-04-04,6,0.83
223,2015-04-04,7,1.51
224,2015-04-04,8,1.57
225,2015-04-04,9,1.52
226,2015-04-04,10,1.38
227,2015-04-04,11,1.32
228,2015-04-04,12,1.44
229,2015-04-04,13,1.69
230,2015-04-04,14,1.07
231,2015-04-04,15,1.14
232,2015-04-04,16,1.18
233,2015-04-04,17,2.43
234,2015-04-04,18,1.53
235,2015-04-04,19,1.85
236,2015-04-04,20,2.25
237,2015-04-04,21,1.77
238,2015-04-04,22,1.51
239,2015-04-04,23,1.08
240,2015-04-05,0,1.35
241,2015-04-05,1,0.85
242,2015-04-05,2,0.96
243,2015-04-05,3,1.19
244,2015-04-05,4,0.83
245,2015-04-05,5,1.37
246,2015-04-05,6,1.01
247,2015-04-05,7,1.3
248,2015-04-05,8,1.67
249,2015-04-05,9,1.6
250,2015-04-05,10,1.14
251,2015-04-05,11,1.14
252,2015-04-05,12,3.39
253,2015-04-05,13,1.2
254,2015-04-05,14,1.53
255,2015-04-05,15,1.51
256,2015-04-05,16,1.96
257,2015-04-05,17,0.75
258,2015-04-05,18,0.7
259,2015-04-05,19,0.75
260,2015-04-05,20,1.94
261,2015-04-05,21,1.92
262,2015-04-05,22,1.77
263,2015-04-05,23,1.41
264,2015-04-06,0,1.0
265,2015-04-06,1,0.95
266,2015-04-06,2,1.19
267,2015-04-06,3,0.74
268,2015-04-06,4,1.41
269,2015-04-06,5,1.01
270,2015-04-06,6,1.27
271,2015-04-06,7,1.2
272,2015-04-06,8,1.66
273,2015-04-06,9,1.12
274,2015-04-06,10,1.19
275,2015-04-06,11,1.59
276,2015-04-06,12,1.18
277,2015-04-06,13,4.6
278,2015-04-06,14,1.24
279,2015-04-06,15,1.04
280,2015-04-06,16,1.12
281,2015-04-06,17,1.86
282,2015-04-06,18,2.43
283,2015-04-06,19,1.54
284,2015-04-06,20,1.49
285,2015-04-06,21,1.65
286,2015-04-06,22,1.9
287,2015-04-06,23,1.02
288,2015-04-07,0,0.84
289,2015-04-07,1,1.26
290,2015-04-07,2,0.91
