,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Slope,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,1_ECDF Percentile Count_0,1_ECDF Percentile Count_1,1_ECDF Percentile_0,1_ECDF Percentile_1,1_ECDF Slope,1_ECDF_0,1_ECDF_1,1_ECDF_2,1_ECDF_3,1_ECDF_4,1_ECDF_5,1_ECDF_6,1_ECDF_7,1_ECDF_8,1_ECDF_9,1_Histogram_0,1_Histogram_1,1_Histogram_2,1_Histogram_3,1_Histogram_4,1_Histogram_5,1_Histogram_6,1_Histogram_7,1_Histogram_8,1_Histogram_9,1_Interquartile range,1_Kurtosis,1_Max,1_Mean,1_Mean absolute deviation,1_Median,1_Median absolute deviation,1_Min,1_Root mean square,1_Skewness,1_Standard deviation,1_Variance,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,1_Absolute energy,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Entropy,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Peak to peak distance,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Total energy,1_Zero crossing rate
0,3380.0,13520.0,4.0,19.0,0.041666666666666664,5.9171597633136094e-05,0.00011834319526627219,0.00017751479289940828,0.00023668639053254438,0.0002958579881656805,0.00035502958579881655,0.0004142011834319527,0.00047337278106508875,0.0005325443786982248,0.000591715976331361,0.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,707.0,12.0,-1.2041703981898129,23.0,11.498165680473372,5.999999782920766,11.0,6.0,0.0,13.421110722207438,-0.00024355680857349556,6.922311680510766,47.918399002135786,3380.0,13520.0,0.12,0.42,1.0,5.9171597633136094e-05,0.00011834319526627219,0.00017751479289940828,0.00023668639053254438,0.0002958579881656805,0.00035502958579881655,0.0004142011834319527,0.00047337278106508875,0.0005325443786982248,0.000591715976331361,0.0,0.0,0.0,0.0,0.0,10094.0,3113.0,1600.0,437.0,349.0,0.27,20.364198143545206,6.79,0.3658621301775148,0.2975443012499562,0.14,0.030000000000000013,0.08,0.6417937280381544,3.944796113131603,0.5272988631232611,0.27804409105108363,3044133.0,1943.0750000000007,3044133.0,84.56050724787649,0.32645405990336707,1.917450736729984,0.0013610272797206936,1.0,1.0,704.0,704.0,23.0,704.0,39124.09639914391,2.236156855966956e-06,32403.0,18013.68720042606,1409.0,6961.0963,61.82895000000002,6961.096300000001,85.42627479137157,0.3771069346239137,0.27345345878454347,1.005976685010872e-05,0.18999999999999995,0.0,2854.0,757.0,6.71,4290.0,18559.75535925174,1.2916015532887316e-06,4621.09,41.192356352446886,0.0
1,4671.0,18687.0,4.0,19.0,0.03571428571428571,4.2810051800162675e-05,8.562010360032535e-05,0.00012843015540048804,0.0001712402072006507,0.0002140502590008134,0.0002568603108009761,0.00029967036260113877,0.0003424804144013014,0.0003852904662014641,0.0004281005180016268,0.0,0.0,0.0,0.0,0.0,974.0,0.0,0.0,0.0,978.0,13.0,-1.2050642168506398,23.0,11.498822723575495,6.002718287091516,11.0,6.0,0.0,13.422741847912388,0.00014477347839429762,6.924382621395374,47.94707468748227,4671.0,18687.0,0.31,0.82,0.9615384615384617,4.2810051800162675e-05,8.562010360032535e-05,0.00012843015540048804,0.0001712402072006507,0.0002140502590008134,0.0002568603108009761,0.00029967036260113877,0.0003424804144013014,0.0003852904662014641,0.0004281005180016268,0.0,0.0,0.0,0.0,0.0,452.0,8998.0,6006.0,3002.0,1722.0,0.38999999999999996,14.462498952537167,7.06,0.6402303180786848,0.34802161280282506,0.46,0.16000000000000003,0.0,0.8430001678123393,3.220074599120147,0.5484108156706051,0.3007544227444984,4208591.0,2685.895,4208591.0,116.83146783092015,0.31594941947406363,1.9188714787224934,0.000984673345320661,1.0,1.0,974.0,974.0,23.0,974.0,54108.376646444915,7.589380908479543e-07,44821.0,18017.77121328881,1947.0,16600.0566,149.54640000000006,16600.056600000004,107.49418466880408,0.474302432508034,0.2756383251990753,-1.7124753831663067e-06,0.1099999999999999,-0.010000000000000009,6223.0,1096.0,7.06,6359.0,25580.832639512155,-3.2022230174588585e-06,6438.360000000001,71.06797071667094,4.0
2,832.0,3330.0,4.0,19.0,0.041666666666666664,0.00024021138601969732,0.00048042277203939464,0.000720634158059092,0.0009608455440787893,0.0012010569300984868,0.001441268316118184,0.0016814797021378813,0.0019216910881575786,0.002161902474177276,0.0024021138601969735,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,174.0,11.5,-1.2039777547091042,23.0,11.498438625990872,5.999159635208747,12.0,6.0,0.0,13.42075790458965,0.0003647822141608462,6.921174170466072,47.902651897926724,832.0,3330.0,0.13,0.3,2.083333333333334,0.00024021138601969732,0.00048042277203939464,0.000720634158059092,0.0009608455440787893,0.0012010569300984868,0.001441268316118184,0.0016814797021378813,0.0019216910881575786,0.002161902474177276,0.0024021138601969735,0.0,0.0,0.0,0.0,0.0,2344.0,1520.0,171.0,40.0,18.0,0.14999999999999997,35.07065072420651,2.46,0.24019457122267596,0.1186996295389955,0.17,0.06999999999999998,0.06,0.32726143683953535,5.21050151444055,0.22227599060049658,0.04940661599743205,749826.0,478.5649999999999,749826.0,20.86303735800039,0.38133552508694896,1.9166266218164345,0.005526189332051898,1.0,1.0,173.0,173.0,23.0,173.0,9631.09936612546,2.848461608568772e-05,7977.0,18016.001922152813,345.0,445.85749999999996,9.998199999999994,445.8575000000002,22.320660462143177,0.429951518350104,0.08190773666506489,9.610764055742933e-06,0.020000000000000018,0.0,710.0,163.0,2.4,793.0,4241.324744852802,2.5865494083031365e-05,340.90000000000003,10.712578087457953,0.0
3,5244.0,20977.0,4.0,19.0,0.041666666666666664,3.813591640607124e-05,7.627183281214248e-05,0.00011440774921821372,0.00015254366562428496,0.0001906795820303562,0.00022881549843642744,0.00026695141484249865,0.0003050873312485699,0.00034322324765464113,0.0003813591640607124,0.0,0.0,0.0,0.0,0.0,1092.0,0.0,0.0,0.0,1097.0,13.0,-1.2044154677870351,23.0,11.500800854244527,6.00095333682753,12.0,6.0,0.0,13.42366560448383,-0.0003205813114980168,6.9228879791609055,47.92637797201056,5244.0,20977.0,0.17,0.54,1.1363636363636365,3.813591640607124e-05,7.627183281214248e-05,0.00011440774921821372,0.00015254366562428496,0.0001906795820303562,0.00022881549843642744,0.00026695141484249865,0.0003050873312485699,0.00034322324765464113,0.0003813591640607124,0.0,0.0,0.0,0.0,0.0,10574.0,7668.0,3672.0,2265.0,1061.0,0.29,10.098396245878744,3.69,0.3651933490961788,0.21500250267133206,0.25,0.09,0.0,0.47287351221429824,2.536737930415727,0.30040502048035506,0.09024317632980255,4725068.0,3015.625,4725068.0,131.12311914876145,0.31235913963101664,1.919186911254338,0.0008771595286220968,1.0,1.0,1094.0,1092.0,23.0,1094.0,60749.87242252371,4.023491628577133e-07,50323.0,18020.167041684148,2183.0,5863.484600000001,95.75495000000005,5863.484600000002,126.99984416553254,0.4154117944220702,0.1223321002250105,-6.48335303764147e-06,0.04000000000000001,0.0,3679.0,1100.0,3.69,4890.0,26855.30081704284,-1.2273108097014064e-06,3207.67,22.36178864269098,6.0
4,5248.0,20995.0,4.0,19.0,0.03571428571428571,3.8103947568968146e-05,7.620789513793629e-05,0.00011431184270690443,0.00015241579027587258,0.00019051973784484072,0.00022862368541380886,0.000266727632982777,0.00030483158055174517,0.0003429355281207133,0.00038103947568968145,0.0,0.0,0.0,0.0,0.0,1095.0,0.0,0.0,0.0,1099.0,13.0,-1.2044418250360598,23.0,11.499123609205913,6.001485786803599,11.0,6.0,0.0,13.422553854949738,-0.00010106117498800977,6.923518484790029,47.93510820922922,5248.0,20995.0,0.18,0.61,1.0869565217391302,3.8103947568968146e-05,7.620789513793629e-05,0.00011431184270690443,0.00015241579027587258,0.00019051973784484072,0.00022862368541380886,0.000266727632982777,0.00030483158055174517,0.0003429355281207133,0.00038103947568968145,0.0,0.0,0.0,0.0,0.0,7685.0,8859.0,4432.0,2236.0,1200.0,0.34,21.811308534989283,5.69,0.4589654778235025,0.29384374111212785,0.3,0.12999999999999998,0.0,0.6808952037308302,4.052823471165205,0.5029602058114467,0.2529689686298929,4728249.0,3017.7150000000024,4728249.0,131.24523637608763,0.3123332922121849,1.9200929771748656,0.0008764241893076249,1.0,1.0,1095.0,1095.0,23.0,1095.0,60820.432582574686,4.588997509006268e-07,50389.0,18017.18172465038,2189.0,12167.1981,120.44890000000021,12167.198099999998,122.119979192087,0.44256831543560654,0.2361902221544793,1.5242159814050994e-06,0.08999999999999997,0.0,6216.0,1251.0,5.69,6750.0,28460.15041749745,-3.602772201937584e-06,6198.34,46.363594482338144,6.0
5,4184.0,16736.0,4.0,19.0,0.041666666666666664,4.779886238707519e-05,9.559772477415038e-05,0.00014339658716122557,0.00019119544954830075,0.00023899431193537594,0.00028679317432245114,0.0003345920367095263,0.0003823908990966015,0.00043018976148367666,0.00047798862387075187,0.0,0.0,0.0,0.0,0.0,872.0,0.0,0.0,0.0,877.0,12.0,-1.203993838297176,23.0,11.49027293150423,5.999628955076268,11.0,6.0,0.0,13.41418810876997,0.001710653805216563,6.921999030410716,47.91407057700689,4184.0,16736.0,0.26,2.99,0.1388888888888889,4.779886238707519e-05,9.559772477415038e-05,0.00014339658716122557,0.00019119544954830075,0.00023899431193537594,0.00028679317432245114,0.0003345920367095263,0.0003823908990966015,0.00043018976148367666,0.00047798862387075187,0.0,0.0,0.0,0.0,0.0,1014.0,6213.0,1828.0,1447.0,1072.0,2.3,5.627179829109334,14.48,1.63049519621433,1.4069415561474954,0.79,0.5700000000000001,0.03,2.446802639689775,2.00088792118043,1.824370733352967,3.3283285727148426,3764534.0,2403.765,3764534.0,104.63681495505153,0.31945001735674533,1.9183078393881454,0.0010994263862332697,1.0,1.0,873.0,873.0,23.0,873.0,48449.62282952486,8.047185815693526e-07,40131.0,17994.904397705544,1743.0,125250.7457,341.09279999999956,125250.74570000001,109.5341316605351,0.5743848140128365,0.5385296367112811,0.00014340344168260088,0.16999999999999993,0.0,3911.0,869.0,14.450000000000001,4488.0,26867.19794496811,-1.8351752042257255e-05,11266.04,598.7129335564053,0.0
6,5221.0,20885.0,4.0,19.0,0.041666666666666664,3.830390316773279e-05,7.660780633546558e-05,0.00011491170950319838,0.00015321561267093116,0.00019151951583866396,0.00022982341900639676,0.00026812732217412955,0.0003064312253418623,0.00034473512850959515,0.0003830390316773279,0.0,0.0,0.0,0.0,0.0,1091.0,0.0,0.0,0.0,1091.0,12.0,-1.2046372276325297,23.0,11.504155973493699,6.002122523635678,12.0,6.0,0.0,13.427268188541168,-0.0015638380705918138,6.9242997006584615,47.945926344538854,5221.0,20885.0,0.67,2.0,0.46296296296296313,3.830390316773279e-05,7.660780633546558e-05,0.00011491170950319838,0.00015321561267093116,0.00019151951583866396,0.00022982341900639676,0.00026812732217412955,0.0003064312253418623,0.00034473512850959515,0.0003830390316773279,0.0,0.0,0.0,0.0,0.0,550.0,2366.0,1698.0,2162.0,2431.0,1.0999999999999999,1.0499923670448164,6.41,1.390588730991688,0.6330108221371689,1.34,0.55,0.0,1.6014826915081104,0.7628005041112484,0.7943612480723037,0.631009792438988,4706871.0,3003.274999999999,4706871.0,130.55631508278006,0.3124941066064195,1.9207461886156438,0.0008810235194974336,1.0,1.0,1091.0,1085.0,23.0,1091.0,60522.355246364335,4.401843499511889e-07,50143.0,18029.843714088714,2181.0,66957.845,363.02690000000007,66957.845,149.03935832440544,0.5553756000727947,0.3614517735386501,3.6773155596414966e-05,0.24999999999999994,0.0,7207.0,1201.0,6.41,7316.0,29070.457283308733,2.747016131778116e-05,9436.06,256.484505477668,2.0
7,5249.0,20999.0,4.0,19.0,0.041666666666666664,3.809668939769134e-05,7.619337879538268e-05,0.00011429006819307402,0.00015238675759076536,0.0001904834469884567,0.00022858013638614805,0.0002666768257838394,0.00030477351518153073,0.00034287020457922205,0.0003809668939769134,0.0,0.0,0.0,0.0,0.0,1093.0,0.0,0.0,0.0,1099.0,12.0,-1.2042383495077573,23.0,11.496095089336738,6.000550468062073,11.0,6.0,0.0,13.41953811426168,0.0009723853347135658,6.92270184949848,47.92380089704968,5249.0,20999.0,0.38,1.33,0.4385964912280702,3.809668939769134e-05,7.619337879538268e-05,0.00011429006819307402,0.00015238675759076536,0.0001904834469884567,0.00022858013638614805,0.0002666768257838394,0.00030477351518153073,0.00034287020457922205,0.0003809668939769134,0.0,0.0,0.0,0.0,0.0,402.0,6348.0,7043.0,2703.0,2089.0,0.7399999999999999,5.760762072607202,7.27,0.9050634309878471,0.5745661532712643,0.57,0.23999999999999994,0.0,1.2041093350022845,2.18050048578812,0.7941910831331146,0.6307394765281498,4727025.0,3017.4949999999985,4727025.0,131.35500592656058,0.31232753228585175,1.9185842730874734,0.000876257238646754,1.0,1.0,1095.0,1095.0,23.0,1095.0,60796.08871042877,1.3870698237140248e-06,50359.0,18009.086406583356,2185.0,38057.8815,237.56574999999927,38057.8815,145.85235205729987,0.511414565317606,0.3833507314843036,1.714416336482867e-05,0.13,0.0,5356.0,1228.0,7.27,5812.0,30490.748208014425,1.651974749201757e-05,10062.19,144.99345283450168,4.0
8,4651.0,18606.0,4.0,19.0,0.041666666666666664,4.2995958379912286e-05,8.599191675982457e-05,0.00012898787513973686,0.00017198383351964914,0.00021497979189956143,0.0002579757502794737,0.00030097170865938603,0.0003439676670392983,0.0003869636254192106,0.00042995958379912286,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,973.0,12.0,-1.2043180770222688,23.0,11.496990282913407,6.000600649360614,11.0,6.0,0.0,13.420456429899321,0.0002647821860322301,6.922995393716564,47.92786522142075,4651.0,18606.0,0.07,1.0,0.4385964912280702,4.2995958379912286e-05,8.599191675982457e-05,0.00012898787513973686,0.00017198383351964914,0.00021497979189956143,0.0002579757502794737,0.00030097170865938603,0.0003439676670392983,0.0003869636254192106,0.00042995958379912286,0.0,0.0,0.0,0.0,0.0,10589.0,2757.0,2051.0,1712.0,1561.0,0.76,3.723880951177235,4.95,0.5434250580445438,0.47867843601134724,0.27,0.21000000000000002,0.03,0.8221453869204034,1.7534157975362343,0.6169377955059847,0.38061224352378414,4188967.0,2673.8549999999987,4188967.0,116.37579042518118,0.3160855999257284,1.9192071204368577,0.000988949563572258,1.0,1.0,971.0,969.0,23.0,971.0,53880.888709266,1.555436196846096e-06,44635.0,18011.639506385174,1939.0,15720.617999999999,126.38849999999991,15720.618000000002,136.37180332605246,0.46807193268275754,0.2657832050565421,6.879649137893422e-06,0.10000000000000003,0.0,5688.0,997.0,4.92,5877.0,25229.68412509062,1.694514816858903e-05,6181.32,67.59521004428774,0.0
9,5846.0,23384.0,4.0,19.0,0.041666666666666664,3.4210256234819196e-05,6.842051246963839e-05,0.0001026307687044576,0.00013684102493927679,0.000171051281174096,0.0002052615374089152,0.0002394717936437344,0.00027368204987855357,0.0003078923061133728,0.000342102562348192,0.0,0.0,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1197.0,12.0,-1.203143294917554,23.0,11.508877561492936,5.996246384350952,12.0,6.0,0.0,13.428313081461338,-0.0009528209392517663,6.91847739667552,47.86532948831009,5846.0,23384.0,0.575,1.511,0.5274261603375526,3.4210256234819196e-05,6.842051246963839e-05,0.0001026307687044576,0.00013684102493927679,0.000171051281174096,0.0002052615374089152,0.0002394717936437344,0.00027368204987855357,0.0003078923061133728,0.000342102562348192,0.0,0.0,0.0,0.0,0.0,58.0,133.0,6885.0,5408.0,4468.0,0.7510000000000001,9.222496193018777,12.372,1.1050836440764942,0.5022537992282513,0.884,0.31599999999999995,0.0,1.3011984593197436,2.1714695747085297,0.6869552897610522,0.4719075701306912,5270922.0,3364.155,5270922.0,146.2891920825237,0.3090588205083212,1.9183373246664386,-3.4211426616489905e-05,1.0,1.0,1218.0,1218.0,23.0,1219.0,67699.20050761558,1.8171679253285011e-06,56073.0,18032.576120424223,2437.0,49491.515612,323.01794500000074,49491.515612,146.5370800660573,0.7195238136257979,0.41374734861443724,-7.218611016079613e-06,0.18999999999999995,-0.0030000000000001137,8234.0,1311.0,12.372,8251.0,34062.582484740255,7.314181939729499e-07,12093.835000000001,169.31753544988027,10.0
