id_casa,time_tag,energy_kWh,retorno
10_casa,2015-02-21,20.669999999999998,
10_casa,2015-02-22,20.029999999999994,-0.03096274794388021
10_casa,2015-02-23,21.349999999999998,0.06590114827758375
10_casa,2015-02-24,22.7,0.06323185011709609
10_casa,2015-02-25,18.740000000000002,-0.1744493392070483
10_casa,2015-02-26,19.959999999999997,0.06510138740661664
10_casa,2015-02-27,14.890000000000002,-0.2540080160320639
10_casa,2015-02-28,15.01,0.008059100067159042
10_casa,2015-03-01,23.689999999999998,0.5782811459027313
10_casa,2015-03-02,21.49,-0.09286618826509074
10_casa,2015-03-03,15.269999999999998,-0.28943694741740345
10_casa,2015-03-04,15.569999999999999,0.01964636542239684
10_casa,2015-03-05,19.589999999999996,0.258188824662813
10_casa,2015-03-06,16.11,-0.1776416539050535
10_casa,2015-03-07,22.34,0.3867163252638113
10_casa,2015-03-08,19.150000000000002,-0.14279319606087726
10_casa,2015-03-09,15.590000000000002,-0.18590078328981718
10_casa,2015-03-10,17.62,0.13021167415009627
10_casa,2015-03-11,15.400000000000002,-0.1259931895573212
10_casa,2015-03-12,17.560000000000002,0.1402597402597403
10_casa,2015-03-13,18.36,0.0455580865603642
10_casa,2015-03-14,17.77,-0.03213507625272327
10_casa,2015-03-15,22.150000000000002,0.24648283624085554
10_casa,2015-03-16,19.61,-0.1146726862302484
10_casa,2015-03-17,15.160000000000002,-0.2269250382457928
10_casa,2015-03-18,16.640000000000004,0.09762532981530359
10_casa,2015-03-19,28.809999999999995,0.7313701923076916
10_casa,2015-03-20,9.4,-0.673724401249566
10_casa,2015-03-21,7.239999999999999,-0.2297872340425533
10_casa,2015-03-22,10.059999999999999,0.3895027624309393
10_casa,2015-03-23,16.85,0.674950298210736
10_casa,2015-03-24,21.89,0.29910979228486645
10_casa,2015-03-25,15.240000000000002,-0.3037916857012334
10_casa,2015-03-26,17.22,0.12992125984251945
10_casa,2015-03-27,13.0,-0.24506387921022066
10_casa,2015-03-28,18.79,0.44538461538461527
10_casa,2015-03-29,17.32,-0.07823310271420958
10_casa,2015-03-30,16.9,-0.024249422632794504
10_casa,2015-03-31,15.76,-0.06745562130177507
10_casa,2015-04-01,13.460000000000003,-0.1459390862944161
10_casa,2015-04-02,20.36,0.5126300148588407
10_casa,2015-04-03,13.8,-0.3222003929273084
10_casa,2015-04-04,21.69,0.5717391304347825
10_casa,2015-04-05,19.520000000000003,-0.10004610419548166
10_casa,2015-04-06,25.099999999999994,0.28586065573770436
10_casa,2015-04-07,13.309999999999999,-0.46972111553784857
10_casa,2015-04-08,14.380000000000003,0.08039068369646918
10_casa,2015-04-09,14.749999999999996,0.02573018080667544
10_casa,2015-04-10,11.86,-0.1959322033898303
10_casa,2015-04-11,15.750000000000002,0.3279932546374369
10_casa,2015-04-12,18.11,0.14984126984126966
10_casa,2015-04-13,16.83,-0.07067918277194929
10_casa,2015-04-14,17.25,0.024955436720142776
10_casa,2015-04-15,14.42,-0.1640579710144927
10_casa,2015-04-16,15.000000000000002,0.04022191400832198
10_casa,2015-04-17,15.060000000000002,0.0040000000000000036
10_casa,2015-04-18,14.909999999999997,-0.009960159362550125
10_casa,2015-04-19,14.07,-0.0563380281690139
10_casa,2015-04-20,17.340000000000003,0.2324093816631132
10_casa,2015-04-21,15.57,-0.10207612456747417
10_casa,2015-04-22,14.769999999999996,-0.051380860629415825
10_casa,2015-04-23,16.4,0.11035883547731906
10_casa,2015-04-24,13.450000000000003,-0.17987804878048752
10_casa,2015-04-25,14.61,0.08624535315985105
10_casa,2015-04-26,18.64,0.2758384668035594
10_casa,2015-04-27,16.189999999999998,-0.13143776824034348
10_casa,2015-04-28,15.200000000000003,-0.06114885731933262
10_casa,2015-04-29,13.260000000000002,-0.12763157894736843
10_casa,2015-04-30,14.620000000000001,0.10256410256410242
10_casa,2015-05-01,10.110000000000001,-0.30848153214774277
10_casa,2015-05-02,13.3,0.3155291790306627
10_casa,2015-05-03,17.44,0.3112781954887218
10_casa,2015-05-04,16.450000000000003,-0.05676605504587151
10_casa,2015-05-05,15.249999999999998,-0.07294832826747744
10_casa,2015-05-06,10.879999999999999,-0.2865573770491803
10_casa,2015-05-07,11.239999999999998,0.03308823529411753
10_casa,2015-05-08,15.19,0.35142348754448416
10_casa,2015-05-09,18.8,0.23765635286372633
10_casa,2015-05-10,12.590000000000002,-0.3303191489361702
10_casa,2015-05-11,11.190000000000001,-0.11119936457505963
10_casa,2015-05-12,15.610000000000001,0.3949955317247542
10_casa,2015-05-13,17.26,0.10570147341447789
10_casa,2015-05-14,17.31,0.0028968713789105927
10_casa,2015-05-15,10.660000000000002,-0.38417099942229904
10_casa,2015-05-16,8.879999999999999,-0.1669793621013136
10_casa,2015-05-17,10.03,0.12950450450450446
10_casa,2015-05-18,23.22,1.3150548354935196
10_casa,2015-05-19,15.790000000000004,-0.31998277347114534
10_casa,2015-05-20,14.82,-0.06143128562381284
10_casa,2015-05-21,18.319999999999997,0.236167341430499
10_casa,2015-05-22,8.63,-0.5289301310043667
10_casa,2015-05-23,14.920000000000002,0.7288528389339515
10_casa,2015-05-24,15.129999999999999,0.01407506702412853
10_casa,2015-05-25,15.089999999999998,-0.0026437541308659274
10_casa,2015-05-26,15.739999999999998,0.04307488402915838
10_casa,2015-05-27,12.76,-0.18932655654383734
10_casa,2015-05-28,12.23,-0.04153605015673978
10_casa,2015-05-29,12.06,-0.013900245298446468
10_casa,2015-05-30,15.190000000000001,0.2595356550580432
10_casa,2015-05-31,20.09,0.32258064516129026
